Uint8_F_0,Uint8_F_1,Uint8_F_2,Uint8_F_3,Uint8_F_4,Uint8_F_5,Uint8_F_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05540653,0.08237183,0.10329537,0.10624137,0.01075099,-0.01990587,-0.00677036
0.10406413,0.15332961,0.26489276,0.22749014,0.05103319,-0.03790248,-0.04301138
0.15303881,0.18962233,0.4304449,0.31335667,0.05653693,-0.03994946,-0.07741031
0.20809382,0.19255085,0.58344287,0.4037985,0.04172973,-0.04336037,-0.10666432
0.3100341,0.22037236,0.75087553,0.4943484,0.05378647,-0.04231313,-0.1089526
0.3659883,0.21444964,0.8634924,0.5330864,0.04309933,-0.04589393,-0.14513505
0.3976463,0.19510493,0.958553,0.58544123,0.03406223,0.00332141,-0.16765498
0.50203794,0.24532156,1.122288,0.7110642,0.07546021,0.07317696,-0.0901376
0.54939824,0.24760313,1.241984,0.78517485,0.07684456,0.06559344,-0.06320383
0.5646429,0.19395114,1.3414364,0.8216174,0.05248656,0.07130433,-0.07275951
0.63472664,0.1846968,1.4718428,0.8891647,0.08517558,0.12050698,-0.0520288
0.71449566,0.23390774,1.5952352,0.96041447,0.12162631,0.1584686,-0.01894316
0.76666325,0.24660298,1.6808169,1.0146298,0.11525154,0.15239787,-0.00710251
0.8085283,0.24417049,1.7734387,1.0634385,0.11055895,0.16505262,-0.00660647
0.9094847,0.28320414,1.9235504,1.1489226,0.13341744,0.18213977,0.02156703
1.0089864,0.30118942,2.0202518,1.161706,0.1496191,0.18218052,0.0285555
1.1323444,0.34704223,2.0579293,1.1852758,0.24162059,0.17330302,0.01613089
1.2599488,0.47601417,2.1056607,1.2717526,0.39889333,0.15632592,-0.01026662
1.2351806,0.50109047,2.0388315,1.2222413,0.3786939,0.09363917,-0.10523809
1.1359521,0.41240868,1.8901738,1.1183889,0.29285127,0.05481035,-0.16117667
1.1438785,0.4956111,1.8668703,1.1487767,0.3196045,0.07680059,-0.14260545
1.2184571,0.65031177,1.9776365,1.2551279,0.38453805,0.09511466,-0.13982375
1.2380263,0.6911291,2.0459173,1.2983078,0.3701469,0.04174079,-0.19028012
1.2121494,0.6631947,2.0790458,1.2963398,0.31345233,0.01097483,-0.22489133
1.1956588,0.62149185,2.119988,1.3073413,0.30379084,0.02479097,-0.20958097
1.1825962,0.6099633,2.1538134,1.3363676,0.29310915,0.06982549,-0.17046742
1.2521477,0.6435397,2.2350478,1.4084511,0.3093051,0.14406094,-0.09280778
1.2916913,0.6570333,2.310359,1.4499531,0.3229345,0.1923561,-0.03869525
1.2949461,0.6854522,2.3747032,1.5125836,0.31314397,0.2187958,-0.05303305
1.3837411,0.7147207,2.4963443,1.598623,0.35197017,0.24859622,-0.02692221
1.4334282,0.72280073,2.548856,1.6070203,0.37924045,0.23183344,-0.02000926
1.4548819,0.7350735,2.585201,1.6183609,0.3749291,0.22429445,-0.037093
1.4455729,0.7065049,2.6095536,1.6123303,0.33879396,0.22101972,-0.03674898
1.4547461,0.6942698,2.6390698,1.6518347,0.3212622,0.24518907,-0.00048873
1.6161163,0.8231249,2.82174,1.8350494,0.4293124,0.33333838,0.06376417
1.8381126,0.93818825,2.98391,1.9282299,0.5396594,0.34818852,0.07482081
2.0097368,1.0319487,3.0154634,1.9545214,0.6376624,0.3287064,0.07310239
2.0375187,1.1058154,2.9967203,1.9605398,0.68505335,0.29440263,0.06116981
2.0030737,1.126163,3.0797162,1.9027832,0.6893691,0.2657284,0.00831273
1.9455384,1.1063261,2.997631,1.77965,0.6356412,0.23234423,-0.06707794
1.9408282,1.166915,2.674344,1.8002301,0.65199244,0.21750781,-0.07556719
1.9297616,1.2149237,2.5110438,1.8510423,0.65622514,0.21414836,-0.10152087
1.9059235,1.2322567,2.5893962,1.8825163,0.6420321,0.19198081,-0.1425072
1.8508956,1.1910878,2.8445458,1.8871462,0.6026567,0.15382268,-0.16129483
1.801392,1.1492391,2.836707,1.881707,0.5694205,0.16066249,-0.12804714
1.7632202,1.1129556,2.7900743,1.8850204,0.5537283,0.19394647,-0.1039714
1.7247756,1.0558996,2.7940001,1.8741977,0.5420263,0.21390419,-0.08085427
1.7045383,1.0054684,2.7991257,1.8628609,0.5235933,0.21162517,-0.07727111
1.7630445,1.0455168,2.8905306,1.9281726,0.5541205,0.25800613,-0.02574666
1.8566506,1.1052706,2.9978645,2.0069978,0.5754645,0.31366065,0.02450062
1.9619837,1.1639504,3.0695121,2.0666828,0.59799045,0.34171233,0.0532965
1.9954036,1.1927912,3.097091,2.0894232,0.60402644,0.35948426,0.05573594
1.9792359,1.1624072,3.1166177,2.0997646,0.59318364,0.3771674,0.05788209
2.01073,1.1831093,3.2147837,2.157619,0.62584877,0.4236685,0.08686411
2.2112074,1.3455964,3.4581404,2.343079,0.7748581,0.50074655,0.16741158
2.4471436,1.4728756,3.6271713,2.4357078,0.8869374,0.53679794,0.20769177
2.5507934,1.4937096,3.5847282,2.3784356,0.91211754,0.4728243,0.1559957
2.5296671,1.4770842,3.4514785,2.28595,0.8960888,0.41241655,0.08255676
2.4857047,1.4811629,3.3155754,2.217108,0.8824766,0.3950392,0.05189769
2.4062974,1.4595062,3.142237,2.1384978,0.8632646,0.3364863,0.01064765
2.3091102,1.4556102,3.009101,2.08897,0.8345844,0.25357994,-0.04920391
2.1754808,1.4399948,2.9564412,2.060013,0.78270197,0.2223093,-0.07546852
2.0343049,1.3770865,2.9299104,2.026551,0.7354106,0.2464182,-0.08828806
2.0354652,1.3675724,2.9868124,2.0741277,0.7601509,0.31715077,-0.04243815
2.1062517,1.4246134,3.1160636,2.1552417,0.8055979,0.35855305,0.00097619
2.1119404,1.4276992,3.1768823,2.177997,0.7947774,0.3535508,-0.00446618
2.0717351,1.37682,3.1765668,2.1644647,0.77266634,0.34381557,-0.00873712
2.0500786,1.3571627,3.209139,2.172336,0.76168966,0.35981354,0.02038121
2.24373,1.4723958,3.3890598,2.330778,0.8687561,0.44410366,0.09827891
2.5436535,1.6750728,3.646966,2.5555007,1.0413843,0.5078404,0.15734501
2.7439322,1.8346626,3.7956924,2.6895738,1.1343156,0.5027157,0.14597937
2.8163528,1.8849839,3.8322005,2.7219706,1.1357933,0.4517918,0.07430913
2.772947,1.8338659,3.8028429,2.6738012,1.0536319,0.37108818,-0.01550904
2.742583,1.8037627,3.8251817,2.6841726,1.0358019,0.33755618,-0.04744993
2.713299,1.7596586,3.849795,2.6676335,1.0268508,0.31811002,-0.06468367
2.6680305,1.6676126,3.7982256,2.5477061,0.97347873,0.32116547,-0.06360434
2.6028512,1.5806159,3.6558032,2.4322226,0.9360059,0.33991614,-0.03637358
2.4970973,1.5300962,3.5106888,2.3363602,0.9187347,0.37355024,0.00202423
2.4001887,1.4960293,3.3617606,2.251062,0.9020505,0.38083634,0.00973452
2.3346198,1.458985,3.233578,2.1776059,0.8971583,0.37386274,0.00066762
2.290298,1.445248,3.0802548,2.1248736,0.9002573,0.39290416,0.00370988
2.3139408,1.5095458,3.0110688,2.1360786,0.94844174,0.44834253,0.06725431
2.2721426,1.533227,2.955229,2.1024363,0.9524261,0.45292884,0.09338878
2.1419206,1.4811784,2.8298845,2.0012882,0.91304666,0.45913637,0.07058682
2.216146,1.566183,2.8439286,2.0510106,0.9949696,0.530135,0.11108898
2.330545,1.6683562,2.8663993,2.1048663,1.0771093,0.56487674,0.12644634
2.4162667,1.7283572,2.8443015,2.1097665,1.1109786,0.55519164,0.10445012
2.3331282,1.7061832,2.7502737,2.0341847,1.0700672,0.4829636,0.04747225
2.172846,1.6244109,2.6293485,1.9104415,1.016795,0.42194498,0.01074249
2.1434736,1.6095439,2.600205,1.8854228,1.013662,0.4176384,0.01407092
